,U[V],$\Delta$U[V],$r^2B^2\cdot 10^5$[$m^2T^2$],$\Delta r^2B^2\cdot 10^5$[$m^2T^2$]
0,251.0,0.0,476.0,28.0
1,226.0,0.0,422.0,26.0
2,209.0,0.0,397.0,25.0
3,188.0,0.0,357.0,24.0
4,158.0,0.0,303.0,22.0
5,133.0,0.0,250.0,20.0
6,108.0,0.0,220.0,19.0
7,81.0,0.0,163.0,16.0
8,199.0,0.0,414.0,26.0
9,170.0,0.0,333.0,23.0
10,251.0,0.0,476.0,28.0
11,226.0,0.0,392.0,25.0
12,209.0,0.0,388.0,25.0
13,188.0,0.0,324.0,23.0
14,158.0,0.0,285.0,21.0
15,133.0,0.0,237.0,19.0
16,108.0,0.0,192.0,18.0
17,81.0,0.0,137.0,15.0
18,199.0,0.0,376.0,25.0
19,170.0,0.0,305.0,22.0
